"","sim","N","Obs.mean.bias","obs.sd.bias","diff.soc.pheno","N.obs.pheno","N.alters.per.obs","interactions.biases","interactions.biases.sd","id","strength","NFocals","MeanIntByFocal","SdIntByFocal"
"1",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"1",1260,36,35,0
"2",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"2",4160,64,65,0
"3",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"3",4225,65,65,0
"4",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"4",1225,35,35,0
"5",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"5",4290,66,65,0
"6",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"6",4160,64,65,0
"7",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"7",4225,65,65,0
"8",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"8",4290,66,65,0
"9",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"9",4225,65,65,0
"10",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"10",4290,66,65,0
"11",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"11",4225,65,65,0
"12",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"12",1260,36,35,0
"13",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"13",1225,35,35,0
"14",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"14",1260,36,35,0
"15",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"15",1225,35,35,0
"16",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"16",4225,65,65,0
"17",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"17",1225,35,35,0
"18",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"18",1225,35,35,0
"19",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"19",1225,35,35,0
"20",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"20",4160,64,65,0
"21",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"21",1260,36,35,0
"22",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"22",4225,65,65,0
"23",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"23",4290,66,65,0
"24",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"24",1225,35,35,0
"25",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"25",4225,65,65,0
"26",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"26",4290,66,65,0
"27",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"27",1225,35,35,0
"28",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"28",4225,65,65,0
"29",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"29",4160,64,65,0
"30",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"30",4225,65,65,0
"31",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"31",1225,35,35,0
"32",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"32",1225,35,35,0
"33",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"33",4225,65,65,0
"34",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"34",4225,65,65,0
"35",1,37,-46.02,0.99,-46.02,65,20,29.56,4.08,"35",1225,35,35,0
